mode,episodes,success_rate,avg_steps,avg_planner_calls,avg_replans,avg_local_retries,recovery_rate,explanation_count,unnecessary_replanning_proxy,failure_counts
bt_mediated,30,0.9,9.333333333333334,9.433333333333334,8.433333333333334,0.0,9.0,843,253,"{""PLANNER_ERROR"": 3}"
direct_feedback,30,0.9,8.766666666666667,8.866666666666667,7.866666666666666,0.0,9.0,3,236,"{""PLANNER_ERROR"": 3}"
